region,state_abb,id,year,avg_temp,temp_hist,temp_hist_sd,temp_sd,precip,precip_hist,precip_hist_sd,precip_sd,outcome
Northeast,CT,101,1909,28,25.58333333333333,4.245359950710892,4.15476683293379,4.005,3.4766666666666666,1.1784718562631205,0.9715630913487399,Early Spring
Northeast,CT,101,1910,29.2,26.089999999999996,4.241218092588006,4.15476683293379,2.52,3.5266666666666664,1.2081292455258592,0.9715630913487399,Early Spring
Northeast,CT,101,1911,24.9,26.166666666666664,4.103158314345758,4.15476683293379,2.81,3.378,1.1442431376180109,0.9715630913487399,Early Spring
Northeast,CT,101,1912,23.15,25.85666666666667,4.124311346783116,4.15476683293379,3.5700000000000003,3.411,1.1620681356191676,0.9715630913487399,Late Winter
Northeast,CT,101,1913,28.049999999999997,25.633333333333333,3.907803638436607,4.15476683293379,3.765,3.4463333333333335,1.2039308566071132,0.9715630913487399,Early Spring
Northeast,CT,101,1914,22.05,25.523333333333333,4.016489716905604,4.15476683293379,2.92,3.352666666666667,1.1782610508572073,0.9715630913487399,Late Winter
Northeast,CT,101,1915,27.5,25.776666666666664,4.152413228610081,4.15476683293379,2.33,3.1866666666666665,1.2243242004036679,0.9715630913487399,Early Spring
Northeast,CT,101,1916,21.549999999999997,25.653333333333332,4.314467080318186,4.15476683293379,3.425,3.2333333333333334,1.1669199664641183,0.9715630913487399,Late Winter
Northeast,CT,101,1917,24.5,25.379999999999995,4.197386358570297,4.15476683293379,2.8,3.144,1.1516603812310529,0.9715630913487399,Early Spring
Northeast,CT,101,1918,26.35,24.973333333333333,3.695088616390758,4.15476683293379,2.5700000000000003,3.0073333333333334,1.0835978046729209,0.9715630913487399,Early Spring
Northeast,CT,101,1919,30.099999999999998,25.486666666666665,3.81680941403698,4.15476683293379,3.0700000000000003,3.022666666666667,1.0963180277027194,0.9715630913487399,Early Spring
Northeast,CT,101,1920,26.150000000000002,25.67666666666667,3.7118159166735545,4.15476683293379,3.51,3.107666666666667,1.080447957580907,0.9715630913487399,Early Spring
Northeast,CT,101,1921,32.85,26.276666666666664,4.02407211593828,4.15476683293379,2.96,3.093,1.0522233951110618,0.9715630913487399,Early Spring
Northeast,CT,101,1922,29,26.593333333333337,3.928704361671338,4.15476683293379,3.355,3.1613333333333333,1.0401450129142216,0.9715630913487399,Early Spring
Northeast,CT,101,1923,22.049999999999997,26.36,4.071470815720515,4.15476683293379,2.495,3.0736666666666665,1.0236498316089118,0.9715630913487399,Late Winter
Northeast,CT,101,1924,24.75,26.14333333333333,3.928847731632642,4.15476683293379,2.345,2.963,0.9581125314104779,0.9715630913487399,Late Winter
Northeast,CT,101,1925,32.35,26.35333333333333,4.164099389233761,4.15476683293379,3.05,2.998333333333334,0.8534004174797865,0.9715630913487399,Early Spring
Northeast,CT,101,1926,23.2,26.24,4.257570600711908,4.15476683293379,3.005,3.011333333333333,0.8960572798240035,0.9715630913487399,Late Winter
Northeast,CT,101,1927,30.700000000000003,26.743333333333332,4.313497793894491,4.15476683293379,2.625,2.9483333333333333,0.8897199215493133,0.9715630913487399,Early Spring
Northeast,CT,101,1928,26.4,26.633333333333326,4.249820920541893,4.15476683293379,2.84,2.8866666666666667,0.7667747785556474,0.9715630913487399,Early Spring
Northeast,CT,101,1929,28.950000000000003,27.093333333333327,4.069633492418174,4.15476683293379,2.95,2.8886666666666665,0.7585587685272023,0.9715630913487399,Early Spring
Northeast,CT,101,1930,28.9,27.186666666666664,3.9837420143001676,4.15476683293379,2.9299999999999997,2.928666666666667,0.6371440935866162,0.9715630913487399,Early Spring
Northeast,CT,101,1931,28.549999999999997,27.65333333333333,3.623772983325087,4.15476683293379,2.46,2.864333333333333,0.6336754306621148,0.9715630913487399,Early Spring
Northeast,CT,101,1932,26.85,27.81,3.640726083398343,4.15476683293379,3.1550000000000002,2.8880000000000003,0.6557949554665493,0.9715630913487399,Early Spring
Northeast,CT,101,1933,27.950000000000003,27.916666666666664,3.6461803869512357,4.15476683293379,3.54,2.9526666666666666,0.6778578624162883,0.9715630913487399,Early Spring
Northeast,CT,101,1934,19.8,27.229999999999997,4.301900603961718,4.15476683293379,2.55,2.9180000000000006,0.6675245520594213,0.9715630913487399,Late Winter
Northeast,CT,101,1935,27.6,27.326666666666668,4.295186712232945,4.15476683293379,2.365,2.841666666666667,0.6434108222838426,0.9715630913487399,Early Spring
Northeast,CT,101,1936,26.5,26.90333333333333,4.202407406301617,4.15476683293379,4.625,2.9526666666666666,0.857852706638313,0.9715630913487399,Early Spring
Northeast,CT,101,1937,26.950000000000003,26.766666666666666,4.319615724853776,4.15476683293379,2.635,2.9046666666666665,0.8546936074367208,0.9715630913487399,Early Spring
Northeast,CT,101,1938,30.5,27.330000000000005,4.210884380489263,4.15476683293379,2.725,2.92,0.8476716937175304,0.9715630913487399,Early Spring
Northeast,CT,101,1939,27.1,27.486666666666665,4.180292892089215,4.15476683293379,3.77,3.015,0.8804063021513474,0.9715630913487399,Early Spring
Northeast,CT,101,1940,24.65,26.973333333333336,4.05704129391702,4.15476683293379,3.71,3.059,0.8994519862957664,0.9715630913487399,Late Winter
Northeast,CT,101,1941,24.35,27.05,3.9997049908666087,4.15476683293379,2.02,2.993333333333333,0.89303000620842,0.9715630913487399,Late Winter
Northeast,CT,101,1942,27.900000000000002,26.863333333333337,3.988904804869515,4.15476683293379,3.89,3.077666666666667,0.8828953861383881,0.9715630913487399,Early Spring
Northeast,CT,101,1943,27.2,26.916666666666664,3.9950959861405138,4.15476683293379,2.535,3.0573333333333332,0.88182492049959,0.9715630913487399,Early Spring
Northeast,CT,101,1944,25.6,26.693333333333335,3.89301495236577,4.15476683293379,3.2300000000000004,3.076,0.8781485844139394,0.9715630913487399,Late Winter
Northeast,CT,101,1945,32.6,26.939999999999998,4.334373253435128,4.15476683293379,2.8600000000000003,3.071333333333333,0.8876986778688636,0.9715630913487399,Early Spring
Northeast,CT,101,1946,31.5,27.136666666666663,4.6736829497400585,4.15476683293379,2.4000000000000004,3.0673333333333335,0.8996615301742845,0.9715630913487399,Early Spring
Northeast,CT,101,1947,25.1,27.020000000000003,4.587328701440038,4.15476683293379,2.51,3.0243333333333338,0.895798895093705,0.9715630913487399,Late Winter
Northeast,CT,101,1948,26.200000000000003,26.903333333333336,4.505739657852439,4.15476683293379,2.775,2.973333333333333,0.8895610555147516,0.9715630913487399,Early Spring
Northeast,CT,101,1949,30.75,27.633333333333333,3.9866385706997014,4.15476683293379,2.425,2.965,0.9001934880308753,0.9715630913487399,Early Spring
Northeast,CT,101,1950,24.450000000000003,27.423333333333336,4.068859448765982,4.15476683293379,3.6550000000000002,3.051,0.9048497948478806,0.9715630913487399,Late Winter
Northeast,CT,101,1951,29.7,27.63666666666667,3.6977886382929706,4.15476683293379,4.21,3.0233333333333334,0.7892362829074226,0.9715630913487399,Early Spring
Northeast,CT,101,1952,29.2,27.78666666666667,3.624242098644075,4.15476683293379,3.1950000000000003,3.060666666666667,0.7808388881719699,0.9715630913487399,Early Spring
Northeast,CT,101,1953,31.4,27.846666666666664,3.7199107478943167,4.15476683293379,4.1899999999999995,3.158333333333333,0.8692229259939979,0.9715630913487399,Early Spring
Northeast,CT,101,1954,31.1,28.113333333333333,3.9214018126908257,4.15476683293379,3.365,3.1313333333333335,0.8277110046487612,0.9715630913487399,Early Spring
Northeast,CT,101,1955,28.25,28.35333333333333,3.7826594989226923,4.15476683293379,4.03,3.1526666666666667,0.847880330164869,0.9715630913487399,Early Spring
Northeast,CT,101,1956,26.75,28.513333333333335,3.720140721531181,4.15476683293379,4.035,3.2870000000000004,0.8154029044209083,0.9715630913487399,Early Spring
